Gender,Age,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,28,No,3+,Not Graduate,No,10816,4103,139316,360,1,Rural,1
Female,22,Yes,1,Graduate,No,6208,7642,162202,360,1,Urban,1
Male,44,Yes,1,Graduate,No,2551,2115,117179,180,1,Urban,1
Female,29,No,1,Graduate,No,1265,3496,45977,360,1,Semiurban,1
Male,34,No,0,Graduate,No,11167,5189,106862,360,1,Urban,1
Male,23,Yes,2,Graduate,No,2197,1854,235725,360,0,Semiurban,0
Female,50,Yes,0,Graduate,No,3974,1082,92833,360,1,Urban,1
Male,22,No,2,Not Graduate,No,3394,996,216530,360,1,Urban,1
Male,45,Yes,0,Graduate,No,3493,1428,130725,360,1,Rural,1
Female,31,Yes,0,Graduate,No,1808,5764,100600,360,1,Urban,1
Male,22,Yes,1,Graduate,No,10696,3811,173019,360,1,Urban,1
Male,50,Yes,0,Not Graduate,Yes,2154,1517,77400,60,0,Urban,1
Male,67,No,1,Graduate,No,4004,4897,60201,360,1,Urban,1
Male,65,Yes,0,Not Graduate,No,2787,2597,60703,360,1,Semiurban,1
Female,58,No,0,Graduate,No,5261,1519,107263,360,1,Rural,1
Female,36,Yes,0,Graduate,No,3211,2083,117989,180,1,Urban,1
Male,39,No,1,Graduate,Yes,3017,2495,75139,360,1,Semiurban,1
Female,22,No,0,Graduate,No,6990,2017,160785,240,1,Semiurban,1
Male,19,No,1,Not Graduate,No,2998,7279,102266,360,1,Semiurban,1
Female,47,No,0,Graduate,No,8489,1603,137553,240,1,Semiurban,1
Male,64,No,0,Graduate,No,1737,598,75159,180,1,Semiurban,1
Male,56,Yes,0,Graduate,No,3134,2321,91785,180,1,Semiurban,1
Male,21,No,3+,Not Graduate,No,2173,1432,48718,360,1,Semiurban,1
Male,50,No,1,Not Graduate,No,3708,617,88217,360,1,Urban,1
Male,30,Yes,0,Graduate,No,1597,3076,108037,360,1,Semiurban,1
Male,37,Yes,1,Graduate,No,5280,100,78888,360,1,Semiurban,1
Female,24,No,2,Not Graduate,No,5605,2277,96350,360,1,Urban,1
Male,32,No,0,Not Graduate,No,8988,271,108620,360,1,Urban,1
Female,40,Yes,2,Graduate,No,6053,1815,79702,360,1,Semiurban,1
Male,31,Yes,0,Graduate,No,6012,2815,88806,360,1,Rural,1
Female,40,No,2,Not Graduate,No,5477,3247,73686,360,1,Urban,1
Female,36,Yes,1,Graduate,No,3194,3452,67744,360,1,Rural,1
Female,46,No,0,Graduate,No,9617,777,161424,360,1,Semiurban,1
Male,37,No,0,Not Graduate,No,5077,2104,55713,360,1,Urban,1
Male,46,No,3+,Graduate,No,16063,1031,138905,360,1,Urban,1
Female,41,Yes,2,Not Graduate,Yes,10428,985,57195,180,1,Urban,1
Male,35,No,1,Graduate,No,4482,1655,180697,180,1,Rural,1
Female,27,No,0,Not Graduate,No,4616,1291,124257,360,1,Rural,1
Male,58,No,0,Graduate,No,5998,789,85009,360,0,Urban,1
Female,25,Yes,0,Not Graduate,Yes,9417,2339,144000,180,1,Urban,1
Female,43,Yes,0,Graduate,No,1449,2804,152489,240,0,Rural,0
Male,46,No,1,Graduate,No,8002,907,124436,360,1,Urban,1
Female,27,Yes,2,Graduate,No,4554,1560,119321,360,1,Rural,1
Male,34,Yes,1,Not Graduate,No,6961,1581,107958,360,1,Semiurban,1
Female,19,Yes,0,Graduate,No,2364,1602,173976,360,1,Semiurban,1
Female,23,No,1,Graduate,No,2301,1727,97738,180,0,Semiurban,1
Male,22,Yes,3+,Graduate,No,4463,2277,103572,360,1,Urban,1
Male,45,Yes,1,Graduate,No,6540,4602,139372,180,1,Urban,1
Male,58,Yes,1,Graduate,No,1739,2006,86912,360,1,Rural,1
Female,22,No,3+,Not Graduate,No,2866,1202,153277,360,1,Semiurban,1
Male,35,Yes,2,Graduate,No,1774,1790,141038,360,1,Urban,1
Female,43,Yes,0,Graduate,No,4679,772,308163,360,0,Semiurban,1
Female,37,Yes,0,Not Graduate,No,12041,882,93965,360,1,Rural,1
Male,58,No,3+,Graduate,No,2977,2555,125414,360,1,Urban,1
Male,66,Yes,0,Graduate,No,5829,147,118988,360,1,Semiurban,1
Female,44,Yes,0,Graduate,Yes,3916,1520,136498,360,0,Urban,0
Female,66,Yes,0,Graduate,No,4543,3798,95955,360,1,Rural,1
Male,29,No,1,Graduate,No,2545,2497,118881,180,0,Urban,1
Male,24,No,3+,Graduate,No,5392,3599,104624,360,1,Urban,1
Male,20,No,0,Not Graduate,No,3226,2365,139246,360,1,Urban,1
Male,27,No,1,Graduate,No,10668,8898,45768,360,1,Semiurban,1
Male,51,Yes,2,Graduate,Yes,2679,675,89732,360,1,Urban,1
Female,42,No,0,Not Graduate,No,6550,1983,230616,240,1,Semiurban,1
Female,52,Yes,0,Graduate,No,11898,3235,182830,360,1,Semiurban,1
Female,33,Yes,3+,Not Graduate,Yes,7429,1290,111450,360,0,Rural,0
Female,19,Yes,0,Graduate,No,2118,4642,125101,360,1,Semiurban,1
Male,41,Yes,1,Graduate,No,2001,2932,121533,360,0,Urban,1
Male,27,No,1,Graduate,No,4778,548,127039,360,1,Urban,1
Male,55,Yes,0,Graduate,No,3778,2415,69521,180,1,Rural,1
Female,39,No,3+,Graduate,No,4960,2941,75646,360,1,Rural,1
Female,43,Yes,0,Graduate,Yes,7458,6674,76090,360,1,Urban,1
Male,60,Yes,0,Graduate,Yes,3836,1566,82627,360,0,Rural,1
Male,56,No,0,Graduate,No,2496,2827,185277,360,0,Urban,0
Female,44,No,0,Graduate,Yes,4123,2221,61911,180,1,Rural,1
Female,46,No,2,Graduate,Yes,9059,1153,216538,120,0,Urban,1
Male,64,Yes,2,Graduate,No,3719,1367,116084,360,0,Semiurban,0
Male,55,Yes,3+,Graduate,No,13239,312,61894,360,0,Semiurban,1
Female,37,No,0,Graduate,Yes,6192,1238,78595,360,1,Rural,1
Male,44,No,1,Graduate,No,5848,6354,117642,240,0,Rural,1
Male,58,Yes,1,Graduate,Yes,2624,1574,58870,360,1,Urban,1
Male,37,No,2,Graduate,No,3377,3553,85878,360,1,Rural,1
Female,61,No,1,Graduate,Yes,4981,2169,62641,240,1,Semiurban,1
Female,36,No,0,Not Graduate,No,3576,2539,127286,180,1,Semiurban,1
Female,37,No,0,Graduate,No,7758,8914,63038,360,1,Rural,1
Female,52,No,0,Graduate,No,4138,1304,54003,240,1,Urban,1
Female,64,Yes,1,Not Graduate,No,2555,1296,177313,360,1,Semiurban,1
Female,19,Yes,3+,Not Graduate,No,4499,4314,87376,360,1,Rural,1
Female,47,No,0,Not Graduate,No,3002,1695,84355,60,1,Urban,1
Male,51,Yes,0,Graduate,No,5626,1453,119195,360,1,Rural,1
Male,39,Yes,0,Graduate,No,2743,3877,97626,180,1,Rural,1
Male,20,Yes,2,Not Graduate,No,11376,2223,71034,180,1,Urban,1
Male,23,Yes,0,Not Graduate,No,1536,1601,77321,240,1,Rural,1
Male,32,No,0,Graduate,No,3088,1375,131581,60,1,Urban,1
Male,44,No,0,Graduate,No,4214,921,67127,360,1,Semiurban,1
Male,27,Yes,1,Not Graduate,No,2828,524,97301,360,1,Semiurban,1
Female,26,Yes,1,Graduate,No,978,4399,192363,360,1,Urban,1
Female,50,No,1,Graduate,No,12106,1287,87640,60,1,Rural,1
Male,49,No,0,Graduate,No,5997,462,161618,360,1,Semiurban,1
Male,65,No,0,Graduate,No,1824,7529,65912,240,1,Semiurban,1
Female,23,Yes,0,Graduate,No,1988,1937,106275,180,1,Rural,1
Male,58,Yes,0,Graduate,No,1602,1840,162498,360,0,Urban,1
Male,53,Yes,0,Not Graduate,No,3551,507,78570,360,0,Semiurban,1
Female,19,No,0,Graduate,No,9356,2878,212542,360,1,Rural,1
Male,46,No,1,Graduate,No,3250,1182,96615,360,1,Urban,1
Female,21,No,0,Not Graduate,No,2941,1184,62003,240,1,Rural,1
Male,18,Yes,0,Graduate,No,6916,2517,147498,360,1,Semiurban,1
Female,36,No,2,Graduate,No,4692,1991,186106,120,1,Urban,1
Female,43,No,1,Graduate,No,3740,830,59945,360,1,Urban,1
Female,42,Yes,1,Graduate,No,6022,578,117780,360,1,Semiurban,1
Male,27,Yes,2,Graduate,No,1343,2063,75422,360,1,Urban,1
Female,32,Yes,0,Graduate,No,5146,1925,65605,240,1,Rural,1
Male,39,Yes,2,Not Graduate,No,8378,14542,69370,360,1,Urban,1
Male,68,Yes,1,Not Graduate,No,1847,299,107373,180,1,Semiurban,1
Male,65,Yes,0,Graduate,No,3105,2034,165609,360,1,Urban,1
Male,38,Yes,0,Graduate,No,1205,493,96339,360,1,Semiurban,1
Female,39,Yes,0,Graduate,Yes,2994,1297,116774,360,1,Rural,1
Female,53,Yes,0,Graduate,No,2636,1284,79097,360,1,Rural,1
Male,51,No,0,Graduate,No,10810,2789,93850,360,1,Semiurban,1
Male,47,Yes,0,Not Graduate,No,2944,2852,69755,360,1,Urban,1
Female,42,No,0,Graduate,No,4638,5387,47847,360,1,Rural,1
Male,62,Yes,0,Graduate,No,8699,2202,80442,360,1,Urban,1
Female,45,No,0,Graduate,No,1046,3976,155083,360,1,Rural,1
Male,18,Yes,0,Graduate,No,4192,5434,36392,360,1,Rural,1
Male,66,No,0,Not Graduate,Yes,1998,2222,153358,180,1,Urban,1
Female,62,Yes,1,Not Graduate,No,2027,4626,112587,360,0,Urban,0
Male,21,No,0,Graduate,No,2315,2143,93392,360,1,Rural,1
Female,24,Yes,2,Graduate,No,2883,1798,80006,180,1,Rural,1
Male,66,No,2,Not Graduate,No,2087,1079,119559,360,0,Semiurban,0
Male,26,Yes,1,Not Graduate,No,3020,2454,172718,360,1,Rural,1
Male,53,Yes,1,Not Graduate,Yes,6913,2378,109447,360,0,Rural,1
Female,36,Yes,0,Graduate,No,5176,2404,90747,240,0,Semiurban,1
Male,18,No,0,Graduate,No,19760,4501,290566,360,0,Semiurban,1
Male,27,No,3+,Graduate,No,4324,3735,102176,360,1,Semiurban,1
Male,53,No,0,Graduate,No,5541,555,51259,360,1,Urban,1
Male,26,Yes,3+,Not Graduate,No,8221,564,112547,360,1,Semiurban,1
Female,62,Yes,1,Graduate,No,1901,1995,78013,120,1,Semiurban,1
Female,63,No,0,Graduate,No,8109,828,85714,180,1,Semiurban,1
Male,59,Yes,0,Graduate,No,2147,1674,164617,360,1,Urban,1
Female,49,No,1,Not Graduate,Yes,4992,872,140241,360,1,Rural,0
Male,49,No,0,Graduate,No,6689,1953,48785,360,0,Rural,1
Male,23,No,0,Graduate,No,1200,800,49427,120,1,Urban,1
Male,65,Yes,1,Graduate,No,3012,2493,104446,360,1,Urban,1
Female,55,Yes,1,Graduate,No,3601,768,145659,240,1,Rural,1
Female,34,Yes,0,Graduate,No,1916,2015,40198,360,1,Urban,1
Female,27,No,0,Graduate,No,4583,468,146071,240,1,Semiurban,1
Female,67,Yes,2,Not Graduate,No,10381,731,264717,360,1,Urban,1
Female,44,Yes,1,Graduate,No,2096,3180,158663,360,1,Urban,1
Female,67,Yes,1,Graduate,No,7646,5042,71880,360,1,Rural,1
Female,52,Yes,3+,Not Graduate,No,5039,3748,127621,60,1,Semiurban,1
Female,69,No,0,Not Graduate,Yes,1663,3315,108358,360,0,Rural,0
Female,38,No,0,Graduate,No,2921,5915,201334,360,1,Urban,1
Male,42,Yes,2,Graduate,No,4383,3914,155453,180,1,Semiurban,1
Female,45,Yes,2,Graduate,No,9722,531,68899,240,0,Urban,1
Female,64,No,0,Graduate,No,6068,3876,124848,240,1,Rural,1
Female,32,Yes,0,Not Graduate,No,2485,3827,71101,360,0,Rural,0
Female,21,No,1,Not Graduate,No,4755,404,149531,120,0,Semiurban,0
Female,46,No,0,Graduate,No,697,1055,89186,360,0,Urban,0
Female,26,Yes,3+,Graduate,No,6449,6394,97171,240,0,Semiurban,1
Female,44,Yes,0,Graduate,No,2369,1630,105637,120,1,Semiurban,1
Female,43,No,0,Graduate,No,1991,725,79184,360,1,Rural,1
Female,36,Yes,0,Graduate,No,3106,3607,103010,360,1,Semiurban,1
Female,45,Yes,1,Graduate,No,1776,1450,118605,360,1,Urban,1
Female,34,Yes,2,Graduate,No,3334,1327,88216,240,1,Semiurban,1
Male,60,Yes,1,Graduate,No,7059,3637,107768,360,1,Semiurban,1
Male,58,No,3+,Graduate,No,1147,2497,73305,360,1,Rural,1
Female,59,No,0,Graduate,No,3593,1645,60340,180,1,Rural,1
Female,67,No,0,Graduate,No,3413,2356,97378,360,1,Rural,1
Male,37,Yes,2,Not Graduate,No,5123,1572,148297,240,1,Semiurban,1
Female,62,Yes,2,Graduate,No,3355,3756,146375,360,0,Semiurban,1
Male,57,No,2,Graduate,Yes,6656,581,142746,360,1,Rural,1
Male,56,Yes,2,Graduate,No,8528,1549,147849,60,1,Urban,1
Male,66,No,0,Graduate,No,6987,1298,106261,360,0,Rural,1
Male,40,Yes,0,Graduate,No,2426,2308,79276,360,1,Semiurban,1
Male,64,No,3+,Graduate,Yes,12050,734,88932,120,1,Urban,1
Female,49,Yes,0,Graduate,No,1886,6002,94048,360,1,Rural,1
Male,69,Yes,0,Graduate,No,5791,998,75872,360,1,Semiurban,1
Female,64,Yes,1,Graduate,Yes,7531,4217,125138,360,1,Urban,1
Female,50,Yes,0,Graduate,No,13155,2934,77279,60,1,Semiurban,1
Male,63,Yes,2,Not Graduate,No,6915,2146,47103,360,1,Semiurban,1
Male,22,No,0,Graduate,No,2397,2202,150760,360,1,Semiurban,1
Female,60,No,2,Graduate,No,6554,409,121070,240,1,Semiurban,1
Male,65,No,1,Graduate,No,3486,1207,49508,360,1,Urban,1
Male,51,No,1,Graduate,Yes,7327,24360,76177,360,1,Urban,1
Female,57,Yes,0,Graduate,No,4245,2144,94987,360,0,Rural,1
Female,28,Yes,0,Graduate,No,8912,2511,98593,60,1,Rural,1
Male,67,Yes,0,Not Graduate,Yes,3847,389,229097,360,0,Rural,0
Female,20,No,0,Graduate,No,6645,1488,67259,360,1,Semiurban,1
Male,50,Yes,1,Graduate,No,2610,1359,65615,240,1,Semiurban,1
Male,28,No,0,Graduate,No,7692,999,164158,360,1,Rural,1
Male,33,Yes,0,Graduate,No,1043,2862,91738,360,1,Semiurban,1
Female,35,No,0,Graduate,No,5777,1284,157840,360,1,Urban,1
Female,47,No,1,Not Graduate,No,4718,1012,88756,180,1,Semiurban,1
Female,65,Yes,0,Graduate,No,4143,557,160722,360,1,Semiurban,1
Female,27,Yes,2,Not Graduate,No,1031,746,88343,360,1,Rural,0
Female,35,No,1,Graduate,No,2814,823,93903,360,1,Rural,1
Male,55,Yes,2,Not Graduate,No,7797,1374,65194,360,1,Rural,1
Male,36,Yes,2,Not Graduate,No,2284,1216,197045,60,1,Urban,1
Male,53,No,0,Not Graduate,No,1569,1095,73020,360,0,Semiurban,0
Male,30,Yes,2,Not Graduate,No,1986,470,59228,360,1,Rural,1
Female,63,No,1,Graduate,No,7732,808,188725,360,1,Semiurban,1
Male,20,No,2,Graduate,No,4986,2002,128482,360,1,Semiurban,1
Female,27,Yes,2,Graduate,No,8891,5809,186050,360,1,Rural,1
Male,55,Yes,0,Graduate,No,5751,6506,74214,360,0,Semiurban,1
Female,18,Yes,0,Not Graduate,No,2250,8953,125751,60,0,Semiurban,0
Female,44,No,1,Graduate,No,11328,2231,172826,360,1,Urban,1
Male,63,Yes,1,Graduate,No,2626,1729,62502,180,0,Rural,1
Male,25,No,0,Graduate,No,2305,3002,112491,360,1,Rural,1
Male,68,Yes,0,Not Graduate,No,4404,1357,82349,360,1,Semiurban,1
Male,63,Yes,0,Not Graduate,No,4857,3436,84348,360,0,Urban,1
Female,59,Yes,1,Graduate,No,6248,1589,71080,360,1,Semiurban,1
Male,34,Yes,3+,Graduate,No,3088,2256,117066,60,1,Urban,1
Male,26,Yes,2,Graduate,No,8807,1008,89767,240,1,Urban,1
Female,23,Yes,0,Graduate,No,2556,3911,68174,120,1,Semiurban,1
Male,60,Yes,0,Graduate,No,1958,822,174203,360,1,Urban,1
Male,42,Yes,0,Graduate,No,1167,1086,100768,360,1,Urban,1
Male,56,Yes,0,Graduate,No,3286,1381,52739,360,1,Rural,1
Male,66,No,2,Graduate,No,6234,925,75054,180,0,Rural,0
Male,45,Yes,0,Graduate,Yes,5800,2844,54605,360,1,Urban,1
Female,50,Yes,1,Not Graduate,No,4543,2006,76839,240,1,Urban,1
Male,54,No,2,Not Graduate,No,2828,828,113643,360,1,Rural,1
Male,26,Yes,3+,Graduate,No,7926,1191,126460,180,0,Rural,0
Male,35,No,0,Not Graduate,No,3938,2022,138420,360,1,Semiurban,1
Male,38,Yes,0,Graduate,No,4748,2135,76918,240,1,Urban,1
Male,19,Yes,0,Graduate,No,1855,842,85609,360,1,Urban,1
Female,60,No,1,Graduate,No,1226,1831,117701,360,1,Rural,1
Male,55,Yes,3+,Not Graduate,No,6288,2976,139399,360,1,Rural,1
Female,57,No,0,Graduate,No,16983,1418,93332,360,1,Semiurban,1
Female,53,Yes,0,Graduate,No,4892,795,127622,120,0,Rural,1
Male,67,No,2,Graduate,No,6310,5248,78898,360,1,Urban,1
Male,60,No,1,Not Graduate,No,6229,2989,41787,240,0,Urban,1
Male,54,Yes,3+,Not Graduate,No,3919,1296,141841,360,1,Urban,1
Male,32,No,0,Graduate,No,1476,1951,123671,360,1,Urban,1
Female,45,Yes,0,Not Graduate,No,5828,1360,94946,360,1,Rural,1
Male,35,No,0,Graduate,No,9388,819,105869,360,1,Rural,1
Male,51,Yes,0,Not Graduate,Yes,5203,3122,156780,360,1,Urban,1
Male,39,No,1,Not Graduate,No,3316,6855,98383,360,1,Semiurban,1
Male,28,Yes,0,Graduate,No,4904,3731,31036,360,1,Semiurban,1
Male,30,Yes,0,Not Graduate,No,3673,2201,43820,360,1,Urban,1
Male,21,No,2,Graduate,No,8411,1403,168635,360,1,Rural,1
Female,39,No,0,Not Graduate,No,4369,214,125156,360,1,Semiurban,1
Female,24,Yes,1,Not Graduate,No,5938,6347,155495,180,1,Semiurban,1
Male,60,Yes,0,Graduate,No,7602,1060,178897,360,0,Urban,1
Male,41,Yes,2,Graduate,No,5956,3522,174796,360,0,Semiurban,0
Male,21,Yes,0,Graduate,No,4013,3839,56178,240,1,Rural,1
Female,45,Yes,2,Not Graduate,No,1562,3753,91061,360,0,Urban,0
Male,32,No,0,Not Graduate,Yes,5034,590,69283,240,1,Urban,1
Female,18,Yes,0,Graduate,No,6754,3969,105379,360,1,Semiurban,1
Male,20,No,1,Graduate,No,1477,1236,57416,180,1,Semiurban,1
Male,31,No,0,Graduate,No,4973,1683,100426,360,0,Urban,1
Male,55,Yes,0,Graduate,No,3890,1642,49562,360,1,Urban,1
Male,67,Yes,2,Graduate,No,993,1104,85918,120,1,Urban,1
Female,18,Yes,2,Graduate,No,4724,1423,176904,360,1,Rural,1
Female,55,Yes,0,Graduate,No,8864,2023,75141,360,1,Urban,1
Male,55,No,0,Graduate,No,3935,852,74827,360,1,Urban,1
Male,38,Yes,0,Graduate,No,1111,489,103813,240,1,Rural,1
Female,65,No,0,Not Graduate,No,4794,3695,106172,360,1,Rural,1
Female,46,Yes,3+,Graduate,Yes,7467,2278,111920,240,1,Semiurban,1
Female,22,Yes,1,Graduate,Yes,2318,407,71824,180,1,Rural,1
Female,66,Yes,0,Graduate,No,3347,2502,77609,360,1,Semiurban,1
Male,27,Yes,3+,Graduate,Yes,3096,1563,101450,360,0,Urban,0
Female,45,Yes,1,Graduate,No,4079,637,146300,360,1,Semiurban,1
Male,38,Yes,1,Graduate,Yes,3039,1168,73708,360,1,Semiurban,1
Female,67,No,0,Graduate,No,8527,2429,91231,360,1,Urban,1
Female,24,No,0,Not Graduate,No,8398,817,45517,360,0,Urban,0
Female,20,Yes,1,Graduate,No,2640,801,82908,360,1,Rural,1
Female,62,Yes,0,Graduate,No,8523,1149,107004,360,0,Urban,1
Female,64,Yes,0,Graduate,No,1411,849,139827,360,1,Urban,1
Male,37,Yes,0,Graduate,No,2332,748,72079,60,1,Rural,1
Male,36,Yes,0,Not Graduate,No,5516,738,105733,240,1,Urban,1
Female,52,Yes,1,Not Graduate,Yes,4001,2556,110045,360,1,Urban,1
Female,21,Yes,1,Graduate,No,4141,875,48203,120,1,Rural,1
Male,22,Yes,0,Graduate,No,4764,4297,59705,120,1,Urban,1
Female,18,Yes,0,Not Graduate,No,2841,10150,120688,360,1,Semiurban,1
Female,21,Yes,1,Graduate,No,8056,1587,101134,360,0,Semiurban,1
Male,29,No,0,Graduate,No,5767,9078,102537,180,1,Urban,1
Female,44,Yes,1,Graduate,No,3576,2790,68061,120,1,Urban,1
Female,59,Yes,2,Graduate,No,6634,2058,55314,240,0,Semiurban,1
Male,40,Yes,0,Not Graduate,Yes,5004,1720,119552,360,1,Rural,1
Male,42,No,2,Graduate,No,3291,378,105546,360,1,Semiurban,1
Male,38,No,2,Graduate,No,3208,1261,45423,360,0,Urban,0
Female,69,No,0,Graduate,No,1910,735,94889,360,0,Urban,1
Male,41,Yes,0,Not Graduate,No,2637,3641,201268,360,1,Urban,1
Male,42,Yes,3+,Graduate,No,3407,7119,125479,360,1,Rural,1
Male,62,No,0,Not Graduate,No,4004,2146,68998,360,0,Urban,1
Male,63,Yes,2,Graduate,No,2204,2211,105528,360,1,Rural,1
Male,49,Yes,1,Not Graduate,No,3901,3905,90915,120,1,Urban,1
Male,49,No,0,Graduate,No,2750,1987,190716,360,1,Urban,1
Female,22,Yes,0,Graduate,No,2482,4733,62930,360,0,Semiurban,1
Female,53,Yes,0,Graduate,No,5196,11991,166010,360,0,Urban,1
Male,63,Yes,0,Not Graduate,No,4223,5741,61239,360,1,Semiurban,1
Male,59,Yes,1,Graduate,No,3513,1098,112818,180,1,Rural,1
Male,66,Yes,3+,Graduate,Yes,5172,3538,127777,240,1,Rural,1
Female,59,No,2,Graduate,No,1763,1059,156613,360,1,Urban,1
Female,56,No,0,Graduate,No,1851,1515,134233,180,1,Urban,1
Female,33,Yes,2,Not Graduate,No,2986,6734,53652,360,1,Rural,1
Female,50,No,2,Graduate,No,3422,814,98761,360,1,Rural,1
Female,66,Yes,3+,Not Graduate,No,5759,1316,121113,360,1,Urban,1
Female,38,Yes,0,Graduate,No,2498,4509,152440,120,1,Rural,1
Female,26,No,2,Not Graduate,Yes,2530,910,62804,360,0,Semiurban,0
Female,23,No,1,Graduate,No,6997,389,67802,360,1,Urban,1
Female,68,No,0,Graduate,No,1900,548,54972,360,1,Rural,1
Male,62,No,3+,Graduate,No,6697,1110,98701,360,1,Urban,1
Male,52,No,0,Not Graduate,No,3659,1752,109995,360,1,Semiurban,1
Male,56,No,0,Graduate,Yes,2282,1418,113756,360,1,Semiurban,1
Male,39,Yes,2,Graduate,No,1886,1200,88756,360,1,Urban,1
Female,58,No,0,Not Graduate,No,3254,1922,94349,180,1,Semiurban,1
Female,22,No,2,Not Graduate,No,5386,1215,94644,360,1,Semiurban,1
Male,59,No,1,Not Graduate,No,3611,1035,89945,120,1,Urban,1
Female,40,Yes,0,Graduate,No,6313,2173,47379,360,0,Urban,1
Male,34,Yes,0,Graduate,No,6205,1982,67330,360,1,Semiurban,1
Female,29,Yes,2,Not Graduate,No,5903,4075,122402,360,1,Rural,1
Male,40,Yes,1,Graduate,No,6055,9092,82634,120,1,Rural,1
Female,33,No,3+,Graduate,No,2643,334,80794,360,1,Urban,1
Female,20,Yes,2,Graduate,No,5818,2739,163819,120,1,Semiurban,1
Male,47,Yes,0,Not Graduate,No,13077,2053,151771,360,1,Urban,1
Female,39,No,0,Graduate,No,6544,5027,73705,180,1,Urban,1
Male,26,Yes,3+,Not Graduate,No,2885,1204,179233,120,1,Semiurban,1
Male,46,Yes,1,Graduate,No,2570,1337,91285,360,1,Urban,1
Male,64,Yes,0,Not Graduate,No,3898,643,135940,360,1,Rural,1
Male,54,No,2,Graduate,No,5781,4105,97360,360,0,Rural,1
Female,40,Yes,2,Graduate,Yes,4052,2015,76425,180,1,Semiurban,1
Female,30,No,1,Graduate,No,1873,4451,136045,360,1,Semiurban,1
Female,49,Yes,0,Not Graduate,No,5737,1280,68812,180,0,Rural,1
Male,63,Yes,1,Graduate,No,6392,1056,92697,180,1,Urban,1
Female,69,Yes,1,Not Graduate,No,2150,3234,98603,360,0,Urban,0
Male,64,No,2,Graduate,No,6480,1379,84612,360,1,Urban,1
Female,65,Yes,3+,Graduate,No,3916,2995,57303,180,1,Urban,1
Female,40,Yes,1,Graduate,No,4877,2720,120891,360,1,Rural,1
Female,62,Yes,2,Graduate,No,4927,1969,142666,60,0,Urban,1
Male,34,No,3+,Not Graduate,No,4327,1112,105417,360,1,Urban,1
Female,57,Yes,0,Graduate,No,2865,2407,72817,180,0,Rural,1
Female,38,No,0,Not Graduate,No,4914,985,234933,360,1,Rural,1
Male,19,No,2,Not Graduate,Yes,3742,1955,90000,180,0,Semiurban,0
Female,54,Yes,0,Graduate,No,4436,6948,89386,360,1,Urban,1
Male,23,Yes,0,Graduate,No,3091,4875,30635,360,1,Urban,1
Female,61,Yes,0,Graduate,No,4615,1203,60090,360,1,Rural,1
Male,35,Yes,0,Not Graduate,No,3639,2248,157032,60,1,Urban,1
Male,47,Yes,0,Graduate,No,1995,1177,368488,360,0,Rural,0
Female,39,Yes,0,Graduate,No,5024,2265,165104,120,1,Rural,1
Male,50,Yes,3+,Not Graduate,No,6961,868,65068,360,1,Semiurban,1
Male,47,Yes,1,Graduate,No,4658,1069,119424,360,1,Rural,1
Male,34,Yes,1,Graduate,No,3286,8095,84495,360,1,Urban,1
Male,60,Yes,0,Graduate,No,4652,2010,85534,360,1,Rural,1
Male,49,No,1,Graduate,No,2450,1262,58644,180,1,Semiurban,1
Male,59,No,1,Graduate,No,5893,329,121515,360,1,Urban,1
Female,68,No,1,Graduate,No,6225,2067,59431,60,1,Rural,1
Male,31,Yes,0,Not Graduate,No,3586,10390,39328,360,1,Rural,1
Male,27,Yes,0,Graduate,No,3948,1145,83805,360,0,Semiurban,1
Female,64,Yes,2,Graduate,Yes,1998,1329,35464,360,1,Rural,1
Female,68,Yes,1,Graduate,No,5202,1878,71452,360,1,Rural,1
Female,53,Yes,1,Graduate,No,3205,1089,125473,360,0,Rural,1
Female,51,No,1,Graduate,No,801,10580,155237,360,1,Semiurban,1
Female,26,Yes,0,Graduate,No,3938,3961,127394,240,1,Semiurban,1
Female,59,Yes,2,Graduate,Yes,3445,3155,90011,360,0,Semiurban,1
Female,45,No,0,Graduate,No,2008,9812,79407,180,1,Semiurban,1
Male,28,Yes,1,Graduate,No,6600,7075,68143,360,1,Urban,1
Male,31,Yes,3+,Graduate,No,2841,1925,178895,360,1,Rural,1
Female,56,Yes,2,Graduate,No,2376,1446,59665,360,1,Semiurban,1
Male,64,Yes,0,Graduate,No,7142,1434,103745,240,1,Urban,1
Male,36,No,0,Graduate,No,4693,1171,125167,360,1,Urban,1
Male,32,Yes,1,Graduate,No,2049,1517,44616,360,1,Urban,1
Female,45,Yes,2,Graduate,No,3657,1200,37566,360,1,Urban,1
Female,41,No,1,Graduate,No,2301,734,125054,360,1,Semiurban,1
Male,25,No,1,Not Graduate,No,1732,260,55158,120,1,Rural,0
Female,60,No,0,Graduate,No,1658,4173,111727,120,1,Urban,1
Male,26,No,1,Graduate,Yes,5554,215,69546,360,1,Rural,1
Male,64,Yes,1,Graduate,No,2288,2401,109869,360,0,Urban,1
Male,50,Yes,3+,Not Graduate,No,2042,3924,115991,180,1,Semiurban,1
Male,50,Yes,0,Graduate,No,3217,2570,147559,360,1,Rural,1
Female,36,Yes,2,Not Graduate,No,17193,1606,117856,240,1,Semiurban,1
Female,20,No,0,Not Graduate,No,4877,2150,107991,360,0,Urban,0
